N,pi
361,3.156731487585922
362,3.1284243056413827
363,3.139385623484544
364,3.1489733814981857
365,3.1436736300492534
366,3.1463704132926162
367,3.149112723038282
368,3.1440904749648912
369,3.1396493813685487
370,3.1208305091260997
371,3.152165217769181
372,3.1439394133744862
373,3.1406634821438044
374,3.1261012784421984
375,3.1469316134988348
376,3.1469129419583832
377,3.130292917019961
378,3.158886748870149
379,3.1456661601758005
380,3.141502130926145
381,3.1472092854150455
382,3.1353181345427283
383,3.1214407111662466
384,3.1446679847655594
385,3.1398478163006156
386,3.1548604524945074
387,3.1182549854346386
388,3.1481637921226673
389,3.125955353476951
390,3.1187338346066436
391,3.1380474507921545
392,3.136837503717738
393,3.153742281946054
394,3.1562164883664945
395,3.133555633331151
396,3.1357417318454774
397,3.1398255452244355
398,3.1689531055245705
399,3.130466049991701
